molregno,canonical_smiles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,NOCount,NumSaturatedRings,NumAromaticCarbocycles,NHOHCount,RingCount,NumRotatableBonds,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumHeteroatoms,NumAliphaticRings,FractionCSP3,HeavyAtomCount,NumAromaticRings,NumHAcceptors,NumHDonors
1480014,CC(C(=O)OCCCc1cccnc1)c2cccc(c2)C(=O)c3ccccc3,0,0,0,4,0,2,0,3,8,1,0,4,0,0.20833,28,3,4,0
1480015,COc1ccc2cc(ccc2c1)C(C)C(=O)Oc3ccc(C)cc3OC,0,0,0,4,0,3,0,3,5,0,0,4,0,0.22727,26,3,4,0
1480016,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCc3cccnc3,0,0,0,4,0,2,0,3,7,1,0,4,0,0.27273,26,3,4,0
1480017,CC(C(=O)NCCS)c1cccc(c1)C(=O)c2ccccc2,0,0,0,3,0,2,1,2,6,0,0,4,0,0.22222,22,2,3,2
1480029,FC(F)(F)c1ccc(OC2CCNCC2)cc1,1,1,0,2,1,1,1,2,2,0,0,5,1,0.50000,17,1,2,1
1480018,CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCCC2C(=O)OCCCc3ccccc3,1,1,0,4,1,2,0,3,9,0,0,4,1,0.48148,31,2,3,0
1480019,COc1ccc2c(c1)c(CC(=O)N3CCCC3C(=O)Oc4ccc(C)cc4OC)c(C)n2C(=O)c5ccc(Cl)cc5,1,1,0,8,1,3,0,5,7,1,0,9,1,0.28125,41,4,7,0
1480020,CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCCC2C(=O)OCCO[N+](=O)[O-],1,1,0,8,1,1,0,2,9,0,0,8,1,0.60000,28,1,6,0
1480021,CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCCC2C(=O)OCCO,1,1,0,5,1,1,1,2,7,0,0,5,1,0.60000,25,1,4,1
1480028,CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,1,1,0,2,1,1,0,2,2,0,0,5,1,0.53846,18,1,2,0
1480022,COc1cc(C)ccc1OC(=O)C(C)c2ccc(CC(C)C)cc2,0,0,0,3,0,2,0,2,6,0,0,3,0,0.38095,24,2,3,0
1480023,CC(C)Cc1ccc(cc1)C(C)C(=O)OCCCc2cccnc2,0,0,0,3,0,1,0,2,8,1,0,3,0,0.42857,24,2,3,0
1480024,COc1ccc(\C=N\NC(=N)N)c(Cl)c1OC,0,0,0,6,0,1,4,1,4,0,0,7,0,0.20000,17,1,4,3
1480025,Nc1ncnc2c1c(Br)cn2[C@@H]3OC[C@@H](O)[C@H]3O,1,1,0,7,1,0,4,3,1,2,0,8,1,0.40000,18,2,7,3
1480026,CNc1ncnc2c1c(I)cn2[C@@H]3O[C@H](C)[C@@H](O)[C@H]3O,1,1,0,7,1,0,3,3,2,2,0,8,1,0.50000,20,2,7,3
1480027,CN1CCC(O)(CC1)c2ccccc2,1,1,0,2,1,1,1,2,1,0,0,2,1,0.50000,14,1,2,1
1480030,OC(COc1ccccc1)CN2CCC(CC2)Oc3ccc(cc3)C(F)(F)F,1,1,0,4,1,2,1,3,7,0,0,7,1,0.42857,28,2,4,1
1480031,OC(COc1ccc(Cl)cc1)CN2CCC(CC2)Oc3ccc(cc3)C(F)(F)F,1,1,0,4,1,2,1,3,7,0,0,8,1,0.42857,29,2,4,1
1480032,OC(COc1ccc(Br)cc1)CN2CCC(CC2)Oc3ccc(cc3)C(F)(F)F,1,1,0,4,1,2,1,3,7,0,0,8,1,0.42857,29,2,4,1
1480033,COC(=O)c1ccccc1OCC(O)CN2CCC(CC2)Oc3ccc(cc3)C(F)(F)F,1,1,0,6,1,2,1,3,8,0,0,9,1,0.43478,32,2,6,1
